video,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,kid.hands,kid.eyes,mom.point
A16,1,398,398,397,398,0,see you pull it on,dog pig,pig,pig,pig,pig,pig,
A16,2,400,400,400,400,2,and there youve got a pig on your hand,dog pig,pig,child,,,pig,
A16,3,403,403,403,403,5,yeah,dog pig,,child,,,pig,
A16,4,407,407,407,407,9,look at that,dog pig,,pig,,,pig,
A16,5,408,408,408,408,10,shall mommy do it,dog pig,,pig,pig,pig,,
A16,6,411,412,412,412,14,kiss,dog pig,,child,pig,pig,,
A16,7,412,412,412,412,14,hes got your hand,dog pig,pig,child,pig,pig,,
A16,8,414,413,413,413,15,hes got your tickle tickle tickle,dog pig,pig,child,pig,pig,,
A16,9,417,418,418,418,20,do you want to pull him off,dog pig,pig,child,pig,pig,,
A16,10,420,421,421,421,23,there,dog pig,,child,,pig,pig,
A16,11,436,434,436,436,38,where where whats that his eye,dog pig,pig,pig,pig,pig,pig,
A16,12,438,438,438,438,40,is that the pigs eye,dog pig,pig,pig,,pig,pig,
A16,13,443,443,443,443,45,yeah pull it on like that,dog pig,pig,pig,pig,pig,pig,
A16,14,446,446,446,446,48,and your hands up in there huh,dog pig,pig,child,pig,pig,pig,
A16,15,461,461,461,461,63,what are you to show me,dough,,child,pig,dough,,
A16,16,462,462,462,462,64,wha,dough,,child,pig,dough,,
A16,17,462,463,462,462,64,huh,dough,,child,pig,dough,,
A16,18,463,463,463,463,65,can i see the pizza dough,dough pig dog,dough,child,pig,dough,,
A16,19,464,464,464,464,66,em,dough pig dog,,child,pig,dough,,
A16,20,465,465,465,465,67,show me the pizza dough,dough pig dog,dough,child,pig,mom,,
A16,21,467,467,467,467,69,is it in the bag,dough pig dog,dough,dough,pig,dough,,dough
A16,22,468,469,469,469,71,no is it in here,dough pig dog,dough,dough,dough,dough,,
A16,23,470,470,470,470,72,what is in here,dough pig dog,dough,dough,dough,dough,,
A16,24,471,471,471,471,73,can you open that,dough pig dog,,dough,,dough,,dough
A16,25,472,472,472,472,74,and show me whats in there,dough pig dog,,dough,,dough,dough,
A16,26,476,476,476,476,78,can you open it for me,dough pig dog,,dough,,dough,dough,
A16,27,480,480,480,480,82,pull harder,dough pig dog,,dough,,dough,dough,
A16,28,481,481,481,481,83,a little bit more,dough pig dog,,dough,,dough,dough,
A16,29,483,482,482,482,84,ha,dough pig dog,,dough,,dough,dough,
A16,30,484,484,484,484,86,good girl,dough pig dog,,dough,,dough,dough,
A16,31,485,485,485,485,87,can you take that out,dough pig dog,dough,dough,,dough,dough,
A16,32,487,486,486,486,88,whats in there,dough pig dog,,dough,,dough,dough,
A16,33,490,489,489,489,91,yeah,dough pig dog,,dough,,dough,dough,
A16,34,491,490,491,491,93,is that the pizza dough,dough pig dog,dough,dough,,dough,dough,
A16,35,492,492,492,492,94,here ill help you,dough pig dog,,dough,dough,dough,dough,
A16,36,495,494,495,495,97,here you hold onto the dough,dough pig dog,dough,dough,dough,dough,,
A16,37,498,496,497,497.5,99.5,there,dough pig dog,,dough,dough,dough,,
A16,38,499,498,498,498,100,there,dough pig dog,,dough,dough,dough,dough,
A16,39,500,499,499,499,101,yeah,dough pig dog,,dough,,dough,dough,
A16,40,501,500,501,501,103,was is it in the bag,dough pig dog,dough,dough,,dough,dough,
A16,41,503,503,503,503,105,hum,dough pig dog,,dough,,dough,dough,
A16,42,507,507,507,507,109,do you want to put something else in the bag,dough pig dog,,,,,,
A16,43,511,510,510,510,112,do you want to put this back in or not,dough pig dog,dough,dough,dough,dough,,
A16,44,513,513,513,513,115,okay,dough pig dog,,dough,dough,dough,dough,
A16,45,516,516,516,516,118,there,dough pig dog,,dough,dough,dough,,
A16,46,520,520,520,520,122,there,dough pig dog,,dough,dough,dough,,
A16,47,524,523,523,523,125,there you go,dough pig dog,,dough,dough,dough,,
A16,48,527,527,527,527,129,ha,dough pig dog,,brush,,brush,dough,
A16,49,528,528,529,528,130,oh whats that,brush box dough,brush,brush,,brush,dough,
A16,50,532,532,532,532,134,whats that,brush box dough,brush,brush,,brush,dough,
A16,51,533,533,533,533,135,a brush,brush box dough,brush,brush,,brush,dough,brush
A16,52,536,535,535,535,137,look at the blue brush,brush box dough,brush,brush,,brush,dough,brush
A16,53,538,538,538,538,140,ha,brush box dough,,child,dough,brush,,
A16,54,539,539,539,539,141,do you want to look at it,brush box,brush,child,dough,brush,,
A16,55,547,547,547,547,149,can i brush your shoes,brush box,,brush,brush,brush,,
A16,56,554,554,554,554,156,is that a brush,brush box,brush,child,,brush,brush,
A16,57,558,558,558,558,160,huh,brush box,,child,,brush,brush,
A16,58,559,559,558,559,161,yeah you want to walk around,brush box,,child,,brush,brush,
A16,59,561,561,561,561,163,huh,brush box,,box,,brush,brush,
A16,60,562,561,561,561,163,and then look at this,brush box,box,box,box,brush,brush,
A16,61,564,563,564,564,166,its a box,brush box,box,box,box,box,brush,
A16,62,569,569,569,569,171,do you think you can bang,brush box,,box,,box,box,
A16,63,571,570,570,570,172,can you bang the box with the brush,brush box,box brush,box,box,box,box,
A16,64,573,572,572,572,174,can you bang,brush box,,box,,brush,brush,
A16,65,574,573,573,573,175,bang bang,brush box,,box,,box,brush,
A16,66,575,574,574,574,176,can you make that bang bang,brush box,,child,child,box,brush,
A16,67,576,575,575,575,177,look,brush box,,child,child,box,brush,
A16,68,578,578,578,578,180,huh,brush box,,box,,box,brush,
A16,69,579,579,579,579,181,yeah bang,brush box,,box,,box,brush,
A16,70,581,580,581,581,183,bang bang,brush box,,child,,box,brush,
A16,71,584,584,584,584,186,i dont think you want to eat it though,brush box,brush,child,,brush,brush,
A16,72,586,586,586,586,188,yicky,brush box,,child,,brush,brush,
A16,73,589,590,590,590,192,yeah,brush box,,child,,box,brush,
A16,74,590,591,591,591,193,good sound,brush box,,child,,box,brush,
A16,75,596,597,597,597,199,yick,brush box,,child,brush,brush,brush,
A16,76,597,598,599,598.5,200.5,Yick,brush box,,child,brush,brush,brush,
A16,77,603,603,603,603,205,whats she doing huh,brush box,,child,child,,brush,
A16,78,604,604,605,604,206,why dont you sit like this,brush box,,box,child,,brush,
A16,79,607,607,607,607,209,emmy,,,child,brush,,,
A16,80,615,615,615,615,217,wheres the hotdog,hotdog,hotdog,child,,,,
A16,81,616,616,616,616,218,can you bring me a hotdog,hotdog,hotdog,child,,,,
A16,82,619,619,619,619,221,wheres the hotdog em,hotdog,hotdog,child,,,,
A16,83,621,621,622,621,223,there are hotdogs,hotdog,hotdog,child,,hotdog,hotdog,
A16,84,623,623,624,623,225,ha,hotdog,,hotdog,,hotdog,hotdog,
A16,85,624,624,625,624,226,opp you dropped one,hotdog,hotdog,hotdog,hotdog,hotdog,hotdog,
A16,86,629,629,629,629,231,do you want to eat the hotdog,hotdog,hotdog,child,,hotdog,hotdog,
A16,87,631,630,631,631,233,can you eat them,hotdog,hotdog,child,hotdog,hotdog,hotdog,
A16,88,633,633,633,633,235,huh,hotdog,,hotdog,,hotdog,hotdog,
A16,89,635,635,635,635,237,look,hotdog,,hotdog,,hotdog,hotdog,
A16,90,636,636,636,636,238,you know what well do,hotdog,,hotdog,hotdog,hotdog,hotdog,
A16,91,638,639,639,639,241,wheres the hotdog,hotdog brush box,hotdog,hotdog,hotdog,,,
A16,92,641,642,642,642,244,emmy,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,93,642,643,643,643,245,whats in here,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,94,644,645,644,644,246,ha,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,95,645,645,645,645,247,whats in there,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,96,647,647,647,647,249,what are you going to do,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,97,648,649,649,649,251,ha,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,98,650,650,650,650,252,ha,hotdog brush box,,hotdog,hotdog,hotdog,hotdog,
A16,99,652,652,651,652,254,there it is,hotdog brush box,hotdog,hotdog,,hotdog,hotdog,
A16,100,654,654,654,654,256,two hotdogs yeah,hotdog,hotdog,child,,hotdog,hotdog,
A16,101,659,659,659,659,261,whats in the can,,,child,,,,
A16,102,661,661,661,661,263,no you dont need to get all your  vegetables too,,,child,,,,
A16,103,673,673,673,673,275,you just want to make a mess,,,child,,,,
A16,104,675,674,674,674,276,here lets lets come over here and look in the box,hotdog brush box,,child,child,,,
A16,105,676,676,676,676,278,come here,hotdog brush box,,child,child,,,
A16,106,678,678,679,678,280,whats in here,hotdog brush box,,child,,,,
A16,107,681,681,681,681,283,can you open that,hotdog brush waffles box,,child,,,,
A16,108,684,684,684,684,286,ha,hotdog brush waffles box,,waffles,,waffles,,
A16,109,687,687,687,687,289,are those waffles,hotdog brush waffles box,waffles,waffles,,waffles,waffles,
A16,110,689,690,689,689,291,does emily like waffles,hotdog brush waffles box,waffles,child,child,waffles,waffles,
A16,111,699,698,698,698,300,where are your waffles now,hotdog brush box,waffles,child,,,,
A16,112,700,700,700,700,302,where did you put them,hotdog brush box,waffles,child,,,,
A16,113,703,702,702,702,304,where are they,hotdog brush box,waffles,child,,,,
