`,utt.num,time.coder1,time.coder2,time.coder3,time.agg,time.agg.adj,utt,objects.present,objects.referred,mom.eyes,mom.hands,mom.point,kid.eyes,kid.hands
A29,1,96,94,88,95,0,is that a truck hm,car truck,truck,child,,,truck,truck
A29,2,101,102,95,101.5,6.5,truck car,car truck,truck,child,,,truck,truck
A29,3,102,105,102,102,7,is that a car,car truck,car,child,,car,car,truck
A29,4,105,107,105,105,10,is that a car,car truck,car,child,,,,truck
A29,5,107,108,106,107.5,12.5,pretty car,car truck,car,child,,,truck,truck
A29,6,110,111,109,110.5,15.5,look how pretty,car truck,,car,car,,car,truck
A29,7,111,112,111,111,16,see,car truck,,child,car,,car,truck
A29,8,116,116,113,116,21,look how pretty,car truck,,child,car,,car,
A29,9,119,119,115,119,24,pretty huh,car truck,,child,car,,car,car
A29,10,131,131,119,131,36,is that a pretty car,car truck,car,car,,,car,car
A29,11,132,133,131,132.5,37.5,wheres the door,car truck,car,car,,,car,car truck
A29,12,134,135,132,134.5,39.5,wheres the door on the car,car truck,car,car,,,car,car truck
A29,13,137,137,135,137,42,wheres the door,car truck,car,car,,,car,car truck
A29,14,140,138,137,137.5,42.5,is that the door look,car truck,car,car,car,,car,car truck
A29,15,141,140,138,140.5,45.5,ha,car truck,,car,car,,car,car
A29,16,144,144,140,144,49,oh look,car truck,,car,car,,car,car
A29,17,149,148,144,148.5,53.5,see,car truck,,car,car,,car,car
A29,18,153,155,148,154,59,can you stick your finger in there,car truck,car,car,car,,car,car
A29,19,158,156,154,157,62,whats inside there,car truck,car,car,car,,car,car
A29,20,159,158,156,158.5,63.5,oh,car truck,,car,car,,car,car
A29,21,162,162,158,162,67,is mommy in there,car truck,car,car,car,,car,car
A29,22,167,169,162,168,73,hm,car truck,,child,,,mom,car
A29,23,174,175,168,174.5,79.5,no heres mommy huh,car truck,,child,,,mom,car
A29,24,175,177,174,174.5,80,umhum and thats a truck,car truck,truck,truck,truck,,truck,truck
A29,25,177,201,177,177,82,truck,car truck,truck,child,,,truck,truck
A29,26,190,202,187,188.5,93.5,truck truck,car truck,truck,child,,,truck,truck
A29,27,195,205,201,203,108,whats wrong,car truck,,child,,,,truck
A29,28,201,207,206,206.5,111.5,want to ride the horse,car truck,,child,,,,
A29,29,212,212,207,212,117,okay,car truck,,child,,,,
A29,30,215,215,212,215,120,ready,car truck,,child,,,,
A29,31,216,217,216,216,121,is it hot,car truck,,child,child,,,
A29,32,218,219,217,218.5,123.5,oh its a little hot,car truck,,child,child,,,
A29,33,228,228,219,228,133,its not too hot its warm,car truck,,child,,,,
A29,34,237,231,229,230,135,hes more interested in you,car truck,,,,,,
A29,35,238,234,231,232.5,137.5,go on,car truck,,child,,,,
A29,36,241,241,232,241,146,ride the horse,car truck,,child,,,,
A29,37,243,243,241,243,148,weeee,car truck,,child,child,,mom,
A29,38,244,244,243,244,149,want to get down,car truck,,child,child,,mom,
A29,39,245,252,246,245.5,150.5,okay,car truck,,,,,,
A29,40,258,262,252,260,165,let me turn it off,car truck,,child,,,,
A29,41,259,264,262,263,168,shawns car,car truck brush box,car,child,car,,car,
A29,42,263,265,263,263,168.5,no thats not shawns car,car truck brush box,car,child,car,,car,
A29,43,269,267,264,268,173,oh it looks like shawns car,car truck brush box,car,car,car,,car,
