age,cih,cil,n,rt,study
1.25,0.3000,0.3000,24,0.9950,fernald1998
1.50,0.2500,0.2500,24,0.8270,fernald1998
2.00,0.2000,0.2000,24,0.6750,fernald1998
21.00,0.1,0.1000,24,0.4500,swingley2001
2.00,0.2000,0.2000,24,0.6750,swingley2001
2.00,0.1000,0.1000,24,0.8000,swingley2002
2.00,0.1000,0.1000,24,0.7400,swingley2002
1.75,0.0665,0.0665,32,0.7500,fernald2003
1.50,0.0707,0.0707,32,0.9430,fernald2003
28.00,0.0461,0.0461,26,0.6530,lewwilliams2007
3.083333333,0.0542,0.0542,26,0.8870,lewwilliams2007
1.25,0.0569,0.0569,59,0.9810,fernald2006
1.5,0.0549,0.0549,59,0.9620,fernald2006
1.75,0.0475,0.0475,59,0.8020,fernald2006
2.083333333,0.0327,0.0327,59,0.7710,fernald2006
1.25,0.2353105,0.20820261,27,1.1202614,yurovsky
1.75,0.218,0.19097917,19,0.9658333,yurovsky
2.25,0.1724626,0.14680021,38,0.917094,yurovsky
2.75,0.1018333,0.09053846,26,0.6733333,yurovsky
3.25,0.2188048,0.16623904,15,0.6890351,yurovsky
3.75,0.2236179,0.19105691,22,0.6613821,yurovsky
1,0.362668264,0.329634111,10,1.0479125,reflook
1.5,0.308925,0.278910282,22,1.157786667,reflook
2,0.258571045,0.224566472,30,0.964668,reflook
2.5,0.179359496,0.166679246,29,0.943332,reflook
3,0.077013398,0.082792829,37,0.668175758,reflook
3.5,0.085423927,0.088129349,30,0.718113043,reflook
4,0.098791856,0.08001538,34,0.714993333,reflook
4.5,0.128835693,0.111464964,26,0.67463913,reflook
